,,,,,,,,,,,,
Category,Count,,Count of Years,Column Labels,,,,,,,,
Arcade,18,,Row Labels,1998,1999,2000,2001,2002,2003,2004,2005,Grand Total
Computers,63,,"Bandai Co., Ltd.",,1,1,,,,,,2
Consoles,69,,Elecbyte,,1,,,,,,,1
Handhelds,26,,Game Park,,,,1,,,,,1
Mobile,2,,Microsoft,,,,1,,,,,1
Grand Total,178,,Nintendo,,,,3,,,1,,4
,,,"Nintendo, Alps Electric",,1,,,,,,,1
,,,Nokia,,,,,,1,,,1
,,,Sammy Corporation,,,,,,1,,,1
,,,ScummVM Team,,,,1,,,,,1
,,,Sega,1,1,1,,,,,,3
,,,Sega/Namco/Nintendo,,,,,1,,,,1
,,,Senile Team,,,,,,,1,,1
,,,SNK,1,1,,,,,,,2
,,,Sony,,1,2,,,,1,,4
,,,SSD COMPANY LIMITED,,,,,,,1,,1
,,,Taito Corporation,,,,,,,1,1,2
,,,Tapwave,,,,,,1,,,1
,,,VM Labs,,,1,,,,,,1
,,,ZAPiT Games,,,,,,,,1,1
,,,Grand Total,2,6,5,6,1,3,5,2,30
,,,,,,,,,,,,
,,,,,,,,,,,,
